file,folder,activity,subject,walking_nonwalking,normal_abnormal,n_samples,source,session_id
NEVO_SimHesitating_Preprocessed_1.csv,Abnormal,sim_hesitating,subj03,0,1,1507,loose:걷다멈추기1.json,2026-08-12T12:29:04.010Z
NEVO_SimHesitating_Preprocessed_2.csv,Abnormal,sim_hesitating,subj03,0,1,1508,loose:걷다멈추기2.json,2026-08-12T12:30:16.330Z
NEVO_SimShuffle_Preprocessed_1.csv,Abnormal,sim_shuffle,subj03,0,1,1507,loose:발끌림1.json,2026-08-12T12:25:43.027Z
NEVO_SimShuffle_Preprocessed_2.csv,Abnormal,sim_shuffle,subj03,0,1,1507,loose:발끌림2.json,2026-08-12T12:27:45.026Z
NEVO_SimLimpRight_Preprocessed_1.csv,Abnormal,sim_limp_right,subj03,0,1,1508,loose:오른쪽절뚝1.json,2026-08-12T12:20:52.977Z
NEVO_SimLimpRight_Preprocessed_2.csv,Abnormal,sim_limp_right,subj03,0,1,1507,loose:오른쪽절뚝2.json,2026-08-12T12:22:06.522Z
NEVO_SimLimpRight_Preprocessed_3.csv,Abnormal,sim_limp_right,subj03,0,1,1507,loose:오른쪽절뚝3.json,2026-08-12T12:32:40.968Z
NEVO_SimLimpLeft_Preprocessed_1.csv,Abnormal,sim_limp_left,subj03,0,1,1507,loose:왼쪽절뚝1.json,2026-08-12T12:23:20.255Z
NEVO_SimLimpLeft_Preprocessed_2.csv,Abnormal,sim_limp_left,subj03,0,1,1507,loose:왼쪽절뚝2.json,2026-08-12T12:24:30.361Z
NEVO_SimLimpLeft_Preprocessed_3.csv,Abnormal,sim_limp_left,subj03,0,1,1507,loose:왼쪽절뚝3.json,2026-08-12T12:31:20.084Z
NEVO_WalkingNormal_Preprocessed_1.csv,Normal,walking_normal,subj03,0,0,1507,bundle:정상걸음걸이.json,20260721_152450_subj03_walking_normal
NEVO_WalkingNormal_Preprocessed_2.csv,Normal,walking_normal,subj03,0,0,1507,bundle:정상걸음걸이.json,20260721_152358_subj03_walking_normal
NEVO_WalkingNormal_Preprocessed_3.csv,Normal,walking_normal,subj03,0,0,1507,bundle:정상걸음걸이.json,20260721_152244_subj03_walking_normal
NEVO_WalkingNormal_Preprocessed_4.csv,Normal,walking_normal,subj03,0,0,1507,bundle:정상걸음걸이.json,20260721_152101_subj03_walking_normal
NEVO_WalkingNormal_Preprocessed_5.csv,Normal,walking_normal,subj03,0,0,1508,bundle:정상걸음걸이.json,20260721_151959_subj03_walking_normal
NEVO_WalkingNormal_Preprocessed_6.csv,Normal,walking_normal,subj03,0,0,1507,bundle:정상걸음걸이.json,20260721_150104_subj03_walking_normal
NEVO_WalkingNormal_Preprocessed_7.csv,Normal,walking_normal,subj03,0,0,1507,bundle:정상걸음걸이.json,20260721_150000_subj03_walking_normal
NEVO_WalkingNormal_Preprocessed_8.csv,Normal,walking_normal,subj03,0,0,1508,bundle:정상걸음걸이.json,20260721_144024_subj03_walking_normal
NEVO_WalkingNormal_Preprocessed_9.csv,Normal,walking_normal,subj03,0,0,1508,bundle:정상걸음걸이.json,20260721_121551_subj03_walking_normal
NEVO_WalkingNormal_Preprocessed_10.csv,Normal,walking_normal,subj05,0,0,1487,bundle:정완2.json,2026-08-09T10:28:25.003Z
NEVO_WalkingNormal_Preprocessed_11.csv,Normal,walking_normal,subj05,0,0,1490,bundle:정완2.json,2026-08-09T10:27:31.636Z
NEVO_WalkingNormal_Preprocessed_12.csv,Normal,walking_normal,subj05,0,0,1489,bundle:정완2.json,2026-08-09T10:26:16.779Z
NEVO_WalkingNormal_Preprocessed_13.csv,Normal,walking_normal,subj05,0,0,1494,bundle:정완2.json,2026-08-09T10:23:02.177Z
NEVO_WalkingNormal_Preprocessed_14.csv,Normal,walking_normal,subj05,0,0,1485,bundle:정완2.json,2026-08-09T10:15:02.141Z
NEVO_WalkingNormal_Preprocessed_15.csv,Normal,walking_normal,subj05,0,0,1489,bundle:정완2.json,2026-08-09T10:12:21.893Z
NEVO_WalkingNormal_Preprocessed_16.csv,Normal,walking_normal,subj05,0,0,1495,bundle:정완2.json,2026-08-09T10:10:03.705Z
NEVO_WalkingNormal_Preprocessed_17.csv,Normal,walking_normal,subj05,0,0,1494,bundle:정완2.json,2026-08-09T10:09:15.961Z
NEVO_WalkingNormal_Preprocessed_18.csv,Normal,walking_normal,subj05,0,0,1492,bundle:정완2.json,2026-08-09T10:07:43.281Z
NEVO_WalkingNormal_Preprocessed_19.csv,Normal,walking_normal,subj05,0,0,1495,bundle:정완2.json,2026-08-07T06:19:08.103Z
NEVO_WalkingNormal_Preprocessed_20.csv,Normal,walking_normal,subj05,0,0,1486,bundle:정완2.json,2026-08-07T06:18:16.161Z
NEVO_WalkingNormal_Preprocessed_21.csv,Normal,walking_normal,subj05,0,0,1493,bundle:정완2.json,2026-08-07T06:17:36.933Z
NEVO_WalkingNormal_Preprocessed_22.csv,Normal,walking_normal,subj05,0,0,1492,bundle:정완2.json,2026-08-07T06:16:57.793Z
NEVO_WalkingNormal_Preprocessed_23.csv,Normal,walking_normal,subj05,0,0,1494,bundle:정완2.json,2026-08-07T06:15:18.142Z
NEVO_WalkingNormal_Preprocessed_24.csv,Normal,walking_normal,subj05,0,0,1495,bundle:정완2.json,2026-08-07T06:12:21.693Z
NEVO_WalkingNormal_Preprocessed_25.csv,Normal,walking_normal,subj05,0,0,1495,bundle:정완2.json,2026-08-07T06:11:40.942Z
NEVO_WalkingNormal_Preprocessed_26.csv,Normal,walking_normal,subj05,0,0,1495,bundle:정완2.json,2026-08-07T06:11:00.448Z
