id,ASVM,GSVM,walking_nonwalking,normal_abnormal,ax,ay,az,gx,gy,gz
1,0.9454,1.4964,0,1,0.260650634765625,0.9706268310546875,-0.2684173583984375,0.7167530655860901,-1.300005316734314,-0.8318527340888977
2,0.9619,1.2597,0,1,0.2316436767578125,1.01068115234375,-0.2869415283203125,0.5235311388969421,-0.6378121376037598,-0.5185491442680359
3,0.9832,1.0531,0,1,0.308807373046875,1.024444580078125,-0.3175201416015625,0.35152262449264526,0.14563976228237152,-0.28059011697769165
4,1.0042,0.8819,0,1,0.33038330078125,1.0334014892578125,-0.3613739013671875,0.376132607460022,0.26409396529197693,-0.06894791126251221
5,1.0212,0.7493,0,1,0.31317138671875,1.0446014404296875,-0.3746185302734375,0.4182180166244507,0.19673356413841248,0.13356684148311615
6,1.0321,0.6554,0,1,0.303070068359375,0.963409423828125,-0.3574981689453125,0.42754626274108887,0.33466267585754395,0.23455604910850525
7,1.0359,0.5978,0,1,0.3005828857421875,0.886566162109375,-0.2843475341796875,0.3352341949939728,0.536622166633606,0.32860079407691956
8,1.0331,0.5714,0,1,0.2985687255859375,0.8214111328125,-0.3163299560546875,0.24752910435199738,0.3010280132293701,0.35603293776512146
9,1.0247,0.5696,0,1,0.2274932861328125,0.8118896484375,-0.346893310546875,0.2892339527606964,0.18247367441654205,0.6564364433288574
10,1.0121,0.5848,0,1,0.2823638916015625,0.7506561279296875,-0.38446044921875,0.3784751296043396,0.09122498333454132,0.5209880471229553
11,0.9965,0.61,0,1,0.4015350341796875,0.75018310546875,-0.4177093505859375,0.4255150854587555,-0.048532381653785706,0.47433480620384216
12,0.9789,0.6387,0,1,0.3750152587890625,0.7606048583984375,-0.3496551513671875,0.3199622929096222,-0.3034874498844147,0.46663349866867065
13,0.9598,0.6664,0,1,0.30206298828125,0.811676025390625,-0.3541717529296875,0.2181645631790161,-0.6499775052070618,0.33657217025756836
14,0.9395,0.6908,0,1,0.31341552734375,0.8664398193359375,-0.413055419921875,0.26907116174697876,-0.8580915331840515,0.28768157958984375
15,0.9182,0.7115,0,1,0.2711639404296875,0.8268890380859375,-0.4569091796875,0.3518350124359131,-0.8193113803863525,0.30215853452682495
16,0.8963,0.7301,0,1,0.185516357421875,0.7800140380859375,-0.4429168701171875,0.34604743123054504,-0.7280605435371399,0.23787008225917816
17,0.8746,0.7492,0,1,0.1097564697265625,0.7503509521484375,-0.4371185302734375,0.27919647097587585,-0.6717512011528015,0.1066095307469368
18,0.8544,0.7719,0,1,0.1370849609375,0.7712860107421875,-0.4813079833984375,0.1859552264213562,-0.5781314969062805,-0.03407701104879379
19,0.8376,0.8008,0,1,0.2440338134765625,0.7568359375,-0.4406890869140625,0.17667889595031738,-0.46918585896492004,0.052566006779670715
20,0.8269,0.837,0,1,0.2890777587890625,0.70867919921875,-0.3600006103515625,0.1597885936498642,-0.3291613757610321,0.2105383276939392
21,0.8252,0.8801,0,1,0.299957275390625,0.713958740234375,-0.3824920654296875,0.10472774505615234,-0.28838226199150085,0.24719008803367615
22,0.8352,0.9279,0,1,0.30224609375,0.725799560546875,-0.434600830078125,0.006298908498138189,-0.5686019062995911,0.13203100860118866
23,0.8593,0.9774,0,1,0.2826995849609375,0.6841583251953125,-0.4554901123046875,-0.05879194289445877,-1.2198785543441772,-0.012950419448316097
24,0.899,1.0252,0,1,0.2349090576171875,0.7470550537109375,-0.5045318603515625,-0.06238454952836037,-1.7778514623641968,-0.09254298359155655
25,0.9541,1.0686,0,1,0.22705078125,0.7674102783203125,-0.4840545654296875,-0.10565692186355591,-1.8165227174758911,-0.09951460361480713
26,1.0228,1.1064,0,1,0.3375091552734375,0.7374725341796875,-0.4244232177734375,-0.1535426825284958,-1.5775353908538818,0.06187934800982475
27,1.1009,1.1388,0,1,0.3260955810546875,0.6974029541015625,-0.448028564453125,-0.15395255386829376,-1.009711742401123,0.2728720009326935
28,1.1827,1.1673,0,1,0.10272216796875,0.6790618896484375,-0.5045013427734375,-0.13895229995250702,-0.5490604639053345,0.20171687006950378
29,1.2609,1.1936,0,1,-0.174896240234375,0.7027740478515625,-0.6204833984375,-0.21705003082752228,-0.5971899032592773,-0.028258269652724266
30,1.3273,1.2191,0,1,-0.2225494384765625,0.7846221923828125,-0.6226806640625,-0.42641496658325195,-0.8171025514602661,-0.29622021317481995
31,1.3748,1.2439,0,1,-0.2772064208984375,1.150726318359375,-0.754974365234375,-0.5473728179931641,-1.1606804132461548,-0.548122763633728
32,1.3978,1.2669,0,1,-0.134246826171875,1.734771728515625,-1.1006927490234375,-0.06350600719451904,-0.9472075700759888,-0.684263288974762
33,1.3935,1.2857,0,1,0.6266937255859375,2.2030029296875,-0.9748687744140625,0.5688458681106567,-0.1898154765367508,0.03327140212059021
34,1.363,1.2972,0,1,1.2461395263671875,1.752349853515625,-0.4731903076171875,0.7968345880508423,0.5382373929023743,1.6116797924041748
35,1.3106,1.2983,0,1,0.436737060546875,0.8933563232421875,0.430694580078125,-0.325726717710495,0.1272522211074829,1.7311465740203857
36,1.2433,1.2869,0,1,-0.0896148681640625,0.3741607666015625,-0.010955810546875,-0.9816741943359375,-0.7436057329177856,0.3470631539821625
37,1.1693,1.2622,0,1,-0.1058807373046875,0.3104400634765625,-0.321014404296875,-0.37768152356147766,-1.489575743675232,-0.767414391040802
38,1.0967,1.2251,0,1,0.2051849365234375,0.6170806884765625,-0.188018798828125,-0.3862720727920532,-0.6490967869758606,-0.7003732919692993
39,1.0322,1.1783,0,1,0.26947021484375,0.968719482421875,-0.1825714111328125,-0.7604922652244568,1.005091905593872,-0.2576485872268677
40,0.9803,1.1253,0,1,0.276153564453125,1.158538818359375,-0.32537841796875,-0.7302582263946533,1.1677178144454956,0.04459063708782196
41,0.9433,1.0701,0,1,0.3050689697265625,1.0665130615234375,-0.4035186767578125,-0.4879821836948395,0.20272061228752136,0.04055807739496231
42,0.9214,1.0165,0,1,0.2883453369140625,0.930572509765625,-0.3664703369140625,-0.522419273853302,-0.5233860015869141,-0.0041281660087406635
43,0.9134,0.9675,0,1,0.225433349609375,0.88323974609375,-0.2883758544921875,-0.6989756226539612,-0.27191033959388733,-0.054600927978754044
44,0.9167,0.9244,0,1,0.1126251220703125,0.868255615234375,-0.1979217529296875,-0.8039763569831848,0.07412216067314148,-0.12716354429721832
45,0.9285,0.8877,0,1,0.10601806640625,0.86126708984375,-0.126129150390625,-0.9048638343811035,0.1633809357881546,-0.1718817502260208
46,0.9455,0.8567,0,1,0.1226654052734375,0.90869140625,-0.1037139892578125,-0.9845094084739685,0.27405446767807007,-0.1127084419131279
47,0.9648,0.8302,0,1,0.156982421875,0.978607177734375,-0.1468353271484375,-0.9511168003082275,0.472774475812912,-0.05192125588655472
48,0.9837,0.8072,0,1,0.1990966796875,1.033355712890625,-0.14923095703125,-0.8620005249977112,0.48585033416748047,0.010000968351960182
49,1.0004,0.787,0,1,0.1993408203125,1.03472900390625,-0.157745361328125,-0.7580088973045349,0.29583752155303955,0.05547577515244484
50,1.0137,0.7694,0,1,0.1677398681640625,0.991058349609375,-0.1228485107421875,-0.723928689956665,0.003150519449263811,0.05626620352268219
51,1.0229,0.7553,0,1,0.140167236328125,0.969940185546875,-0.0814056396484375,-0.74082350730896,-0.27623450756073,0.04866527393460274
52,1.028,0.7455,0,1,0.102783203125,0.9709930419921875,-0.0780181884765625,-0.7331956624984741,-0.41654208302497864,0.04399701952934265
53,1.0293,0.7413,0,1,0.038787841796875,0.9683685302734375,-0.108123779296875,-0.6214057803153992,-0.46852007508277893,0.04481087997555733
54,1.0277,0.7434,0,1,-0.000152587890625,0.984100341796875,-0.134674072265625,-0.45107635855674744,-0.3578968942165375,0.017613347619771957
55,1.0238,0.7521,0,1,0.06134033203125,1.018218994140625,-0.1807708740234375,-0.29226434230804443,-0.0065385932102799416,0.015797339379787445
56,1.0185,0.7664,0,1,0.206329345703125,1.0372467041015625,-0.070648193359375,-0.3613390326499939,0.5072834491729736,0.08896955102682114
57,1.0125,0.7849,0,1,0.2585296630859375,1.0222320556640625,0.0106964111328125,-0.5975406169891357,0.8106260299682617,0.16249676048755646
58,1.0065,0.8051,0,1,0.26446533203125,0.997528076171875,0.032257080078125,-0.6381464004516602,0.6736361980438232,0.2175815850496292
59,1.001,0.8245,0,1,0.2700958251953125,0.9209136962890625,-0.0137939453125,-0.5354799032211304,0.4216921031475067,0.24289946258068085
60,0.9964,0.8404,0,1,0.2587890625,0.868316650390625,-0.10467529296875,-0.41465097665786743,0.45356881618499756,0.15914997458457947
61,0.993,0.8509,0,1,0.3035736083984375,0.91357421875,-0.20587158203125,-0.41254550218582153,1.055091381072998,0.032998695969581604
62,0.9908,0.8548,0,1,0.292510986328125,0.9794158935546875,-0.0845489501953125,-0.4830726385116577,1.3540858030319214,0.129673033952713
63,0.9897,0.8521,0,1,0.188232421875,1.002838134765625,-0.0499114990234375,-0.48444443941116333,0.8485323786735535,0.20558777451515198
64,0.9896,0.8432,0,1,0.0949554443359375,1.0107269287109375,-0.0747833251953125,-0.393982470035553,0.13720658421516418,0.16166585683822632
65,0.9902,0.8294,0,1,0.0550689697265625,0.979095458984375,-0.0950469970703125,-0.265728622674942,-0.4810662269592285,0.07254823297262192
66,0.9916,0.8117,0,1,0.09619140625,0.98162841796875,-0.0388946533203125,-0.22601155936717987,-0.682843029499054,-0.01689775660634041
67,0.9934,0.7912,0,1,0.156005859375,0.9971160888671875,0.0673675537109375,-0.2035435289144516,-0.7457048296928406,0.002919090911746025
68,0.9956,0.768,0,1,0.166900634765625,0.9716033935546875,0.1164093017578125,-0.2082674503326416,-0.8676866292953491,0.017702830955386162
69,0.998,0.7419,0,1,0.190338134765625,0.9533233642578125,0.0351715087890625,-0.19731466472148895,-0.4755915701389313,0.00526560191065073
70,1.0005,0.7124,0,1,0.1692352294921875,0.953369140625,-0.0431976318359375,-0.16874560713768005,0.3299027979373932,-0.0007275756215676665
