id,ASVM,GSVM,walking_nonwalking,normal_abnormal,ax,ay,az,gx,gy,gz
1,1.5018,1.2953,0,0,-0.4571685791015625,0.72943115234375,1.230560302734375,0.953250288963318,0.2579377889633178,-0.8381497859954834
2,1.5017,1.2947,0,0,-0.3247528076171875,0.6391143798828125,1.13800048828125,0.1540223211050033,-0.5659171938896179,-0.2729100883007049
3,1.5007,1.2911,0,0,-0.390594482421875,0.9565887451171876,0.629425048828125,0.1540223211050033,-0.5659171938896179,-0.2729100883007049
4,1.497,1.2815,0,0,-0.4753265380859375,1.21112060546875,0.032867431640625,-1.2845911979675293,3.809149265289306,1.0708816051483154
5,1.4883,1.2754,0,0,-0.5469970703125,1.2344512939453125,-0.0987701416015625,-1.6189912557601929,5.658622741699219,1.1021031141281128
6,1.4732,1.3065,0,0,-0.4349212646484375,1.1189727783203125,-0.052886962890625,-1.9721285104751587,6.29568338394165,0.5645470023155212
7,1.4513,1.4247,0,0,-0.3297271728515625,0.8933258056640625,-0.1273040771484375,-0.628736138343811,2.487215280532837,-0.0175939071923494
8,1.4222,1.6618,0,0,-0.3943023681640625,0.6714019775390625,0.08575439453125,-0.3307251930236816,-0.5376086235046387,-0.4571161568164825
9,1.3842,2.0011,0,0,-0.2853851318359375,0.7524261474609375,0.0297088623046875,-1.03363037109375,-1.168139100074768,-0.164003849029541
10,1.3354,2.3815,0,0,-0.3454437255859375,0.85211181640625,-0.0591888427734375,-1.03363037109375,-1.168139100074768,-0.164003849029541
11,1.2753,2.7289,0,0,-0.4873504638671875,0.972625732421875,-0.1233978271484375,-1.822579264640808,0.1035133451223373,0.0749781057238578
12,1.207,2.9837,0,0,-0.605224609375,0.9189453125,-0.1879119873046875,-1.4388209581375122,1.087220549583435,-0.2593647241592407
13,1.1367,3.1133,0,0,-0.5113372802734375,0.8164520263671875,-0.19964599609375,-0.7404200434684753,1.89529287815094,-0.2467943429946899
14,1.0714,3.113,0,0,-0.5021820068359375,0.685333251953125,-0.1980743408203125,-0.7404200434684753,1.89529287815094,-0.2467943429946899
15,1.0162,3.0012,0,0,-0.5162506103515625,0.5869903564453125,-0.1626129150390625,0.0122912870720028,2.281367540359497,-0.1173135787248611
16,0.9729,2.8109,0,0,-0.55999755859375,0.544036865234375,-0.104949951171875,0.6441688537597656,2.007568359375,0.1224212497472763
17,0.9403,2.5808,0,0,-0.6155242919921875,0.552093505859375,-0.08074951171875,1.5909758806228638,0.1434849947690963,0.4053549468517303
18,0.9161,2.3456,0,0,-0.6807098388671875,0.5704803466796875,-0.0752105712890625,1.5909758806228638,0.1434849947690963,0.4053549468517303
19,0.8979,2.1315,0,0,-0.7461395263671875,0.6017303466796875,-0.0828704833984375,2.872277975082397,-0.6529397368431091,0.3028541505336761
20,0.8848,1.9589,0,0,-0.8030242919921875,0.60992431640625,-0.106689453125,3.9858145713806152,-0.2671129107475281,0.2188362032175064
21,0.8767,1.8493,0,0,-0.816131591796875,0.680389404296875,-0.0268096923828125,3.9858145713806152,-0.2671129107475281,0.2188362032175064
22,0.8748,1.8255,0,0,-0.774810791015625,0.661590576171875,0.116546630859375,4.665071964263916,-1.1753618717193604,0.1027532741427421
23,0.8801,1.9064,0,0,-0.6349334716796875,0.6881866455078125,0.74859619140625,3.972403526306152,-4.586913585662842,0.1622751951217651
